eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
4,enfermo,antillano,0.014,0.0136,0.0004,0.0251,0.0207,0.0044,0.17564,0.85
4,enfermo,antillano,0.0141,0.0128,0.0013,0.0185,0.0158,0.0027,0.13891,0.9
4,enfermo,antillano,0.0151,0.0136,0.0015,0.0321,0.0248,0.0073,0.27062,0.95
4,enfermo,antillano,0.0212,0.0189,0.0023,0.025,0.0223,0.0027,0.43474,0.85
4,enfermo,antillano,0.0216,0.0195,0.0021,0.0391,0.0325,0.0066,0.22009,0.8
4,enfermo,mexicano,0.0406,0.0223,0.0183,0.0853,0.0385,0.0468,0.46462,0.4
4,enfermo,mexicano,0.0261,0.017,0.0091,0.0677,0.0266,0.0411,0.48868,0.35
4,enfermo,mexicano,0.0324,0.0186,0.0138,0.0826,0.0336,0.049,0.86432,0.45
4,enfermo,mexicano,0.0208,0.0149,0.0059,0.0588,0.025,0.0338,0.43468,0.45
4,enfermo,mexicano,0.0341,0.0174,0.0167,0.1238,0.0576,0.0662,0.56544,0.25
4,enfermo,mexicano,0.036,0.0175,0.0185,0.1011,0.0474,0.0537,0.4164,0.5
4,enfermo,zutano,0.0307,0.0176,0.0131,0.0726,0.0291,0.0435,1.13982,0.2
4,enfermo,zutano,0.0413,0.0228,0.0185,0.0918,0.04,0.0518,1.32346,0.35
4,enfermo,zutano,0.0211,0.0138,0.0073,0.092,0.0468,0.0452,0.59974,0.5
4,enfermo,zutano,0.0608,0.0287,0.0321,0.163,0.0687,0.0943,2.02957,0.2
4,enfermo,zutano,0.0445,0.0225,0.022,0.1256,0.0495,0.0761,1.40228,0.35
4,enfermo,zutano,0.0635,0.0273,0.0362,0.1646,0.0571,0.1075,1.89316,0.45
4,enfermo,nabal,0.0326,0.018,0.0146,0.1398,0.0628,0.077,0.91029,0.35
4,enfermo,nabal,0.049,0.0256,0.0234,0.1715,0.0832,0.0883,2.32081,0.25
4,enfermo,nabal,0.0465,0.0282,0.0183,0.1704,0.0823,0.0881,2.26847,0.25
4,enfermo,nabal,0.0326,0.0193,0.0133,0.1268,0.0662,0.0606,0.99622,0.35
4,enfermo,nabal,0.0284,0.0186,0.0098,0.1102,0.0563,0.0539,0.58959,0.8
4,enfermo,nabal,0.0468,0.0288,0.018,0.1966,0.0958,0.1008,1.27762,0.3
